metrica,linkage,k,silhueta_media,cofenetica,n_grupos_obtidos,maior_grupo,menor_grupo
euclidean,ward,2,0.35840696551276735,0.5342628824213239,2,6238,880
euclidean,ward,3,0.16899207877929984,0.5342628824213239,3,5125,880
euclidean,ward,4,0.06544325586696939,0.5342628824213239,4,3280,880
euclidean,ward,5,0.060145063008986324,0.5342628824213239,5,3280,334
euclidean,ward,6,0.06567562049638234,0.5342628824213239,6,3280,315
euclidean,ward,7,0.06647740790904946,0.5342628824213239,7,2515,315
euclidean,ward,8,0.05337485408834606,0.5342628824213239,8,1845,315
euclidean,complete,2,,0.47393182015551494,1,7118,7118
euclidean,complete,3,,0.47393182015551494,1,7118,7118
euclidean,complete,4,,0.47393182015551494,1,7118,7118
euclidean,complete,5,0.17063437660667924,0.47393182015551494,5,6912,4
euclidean,complete,6,0.18210460811547888,0.47393182015551494,6,5514,4
euclidean,complete,7,0.15898578026384597,0.47393182015551494,7,5414,4
euclidean,complete,8,0.11286603158629728,0.47393182015551494,8,4348,4
euclidean,average,2,0.60006086254527,0.7621147947474038,2,7114,4
euclidean,average,3,0.545235826529075,0.7621147947474038,3,7107,4
euclidean,average,4,0.445647205457376,0.7621147947474038,4,7091,4
euclidean,average,5,0.4187945921839509,0.7621147947474038,5,7079,4
euclidean,average,6,0.4005899872416345,0.7621147947474038,6,7055,4
euclidean,average,7,0.38983882354774846,0.7621147947474038,7,7055,3
euclidean,average,8,0.34783607924601895,0.7621147947474038,8,7003,3
euclidean,single,2,0.6269546345963379,0.5915389853462513,2,7117,1
euclidean,single,3,0.5800177771331761,0.5915389853462513,3,7116,1
euclidean,single,4,0.505677487768362,0.5915389853462513,4,7115,1
euclidean,single,5,0.49930974260491434,0.5915389853462513,5,7114,1
euclidean,single,6,0.49441991342332636,0.5915389853462513,6,7110,1
euclidean,single,7,0.4849508535043242,0.5915389853462513,7,7104,1
euclidean,single,8,0.472547959356629,0.5915389853462513,8,7103,1
